source,batch,running,ctx_len,ctx_kv_derived,steps_s,gen_tok_s,measured_step_ms,prefill_frac,prefill_tokens_per_step,completions_per_step,intensity,achieved_tflops,achieved_gbs,flops_step,bytes_step,activations,attn_proj,kv_read,kv_write,linear_attn_proj,lm_head,recurrent_state,routed_experts,router,shared_expert
rf-dec,1,1,2205,8693,222,222,4.505,0.02231,0.02282,0.0001453,2.188,1.287,588.1,5.797e+09,2.65e+09,6.703e+05,1.887e+08,2.258e+07,1.047e+04,1.007e+09,5.086e+08,1.298e+08,6.69e+08,4.194e+07,8.179e+07
rf-dec,1,1,2205,9562,221.6,221.6,4.512,0.04371,0.04571,0.0002911,2.213,1.307,590.5,5.896e+09,2.664e+09,6.853e+05,1.887e+08,2.258e+07,1.071e+04,1.007e+09,5.086e+08,1.298e+08,6.837e+08,4.194e+07,8.179e+07
rf-dec,1,1,2205,7823,225.7,225.7,4.43,0.04431,0.04637,0.0002953,2.214,1.332,601.5,5.899e+09,2.665e+09,6.857e+05,1.887e+08,2.258e+07,1.071e+04,1.007e+09,5.086e+08,1.298e+08,6.841e+08,4.194e+07,8.179e+07
rf-dec,1,1,2205,7823,217,217,4.609,0.02355,0.02412,0.0001536,2.189,1.259,575.1,5.803e+09,2.651e+09,6.712e+05,1.887e+08,2.258e+07,1.049e+04,1.007e+09,5.086e+08,1.298e+08,6.698e+08,4.194e+07,8.179e+07
rf-dec,1,1,2205,8693,219.9,219.9,4.547,0.04272,0.04462,0.0002842,2.212,1.296,585.8,5.892e+09,2.664e+09,6.846e+05,1.887e+08,2.258e+07,1.07e+04,1.007e+09,5.086e+08,1.298e+08,6.83e+08,4.194e+07,8.179e+07
rf-dec,1.999,1.5,2205,8113,175.9,351.6,5.684,0.04142,0.08636,0.0003667,3.408,2.038,597.9,1.158e+10,3.399e+09,1.366e+06,1.887e+08,3.387e+07,2.135e+04,1.007e+09,5.086e+08,1.946e+08,1.341e+09,4.194e+07,8.179e+07
rf-dec,1.998,2,2205,7823,180,359.8,5.555,0.04052,0.08439,0.0005375,3.384,2.116,625.3,1.175e+10,3.473e+09,1.365e+06,1.887e+08,4.516e+07,2.133e+04,1.007e+09,5.086e+08,2.595e+08,1.34e+09,4.194e+07,8.179e+07
rf-dec,1.998,2,2205,7823,178.1,355.9,5.614,0.03855,0.08013,0.0005104,3.381,2.09,618.2,1.173e+10,3.471e+09,1.362e+06,1.887e+08,4.516e+07,2.128e+04,1.007e+09,5.086e+08,2.595e+08,1.337e+09,4.194e+07,8.179e+07
rf-dec,1.998,2,2205,7389,181.7,363,5.505,0.04145,0.08642,0.0005505,3.385,2.137,631.2,1.176e+10,3.475e+09,1.366e+06,1.887e+08,4.516e+07,2.135e+04,1.007e+09,5.086e+08,2.595e+08,1.341e+09,4.194e+07,8.179e+07
rf-dec,1.999,2,2205,7389,174.9,349.6,5.716,0.02907,0.05983,0.0003811,3.368,2.038,605,1.165e+10,3.458e+09,1.349e+06,1.887e+08,4.516e+07,2.108e+04,1.007e+09,5.086e+08,2.595e+08,1.325e+09,4.194e+07,8.179e+07
rf-dec,2.32,3,2205,7534,178.1,413.3,5.614,0.05954,0.1469,0.0005614,3.65,2.512,688.3,1.41e+10,3.864e+09,1.617e+06,1.887e+08,6.774e+07,2.526e+04,1.007e+09,5.086e+08,3.893e+08,1.578e+09,4.194e+07,8.179e+07
rf-dec,3.997,4,2205,7389,159.9,639.3,6.253,0.03171,0.1309,0.0008337,4.658,3.734,801.5,2.334e+10,5.012e+09,2.705e+06,1.887e+08,9.032e+07,4.227e+04,1.007e+09,5.086e+08,5.19e+08,2.572e+09,4.194e+07,8.179e+07
rf-dec,3.997,4,2205,7606,162.4,649,6.158,0.03755,0.1559,0.0009932,4.666,3.808,816.2,2.345e+10,5.026e+09,2.722e+06,1.887e+08,9.032e+07,4.252e+04,1.007e+09,5.086e+08,5.19e+08,2.586e+09,4.194e+07,8.179e+07
rf-dec,3.998,4,2205,8041,165.3,660.8,6.05,0.0307,0.1266,0.0008066,4.657,3.856,828.1,2.333e+10,5.01e+09,2.703e+06,1.887e+08,9.032e+07,4.223e+04,1.007e+09,5.086e+08,5.19e+08,2.57e+09,4.194e+07,8.179e+07
rf-dec,3.997,4,2205,8258,159.1,635.8,6.287,0.03187,0.1316,0.0008382,4.658,3.714,797.3,2.335e+10,5.012e+09,2.706e+06,1.887e+08,9.032e+07,4.228e+04,1.007e+09,5.086e+08,5.19e+08,2.572e+09,4.194e+07,8.179e+07
rf-dec,3.996,4,2205,7823,165.1,659.6,6.058,0.05262,0.2219,0.001414,4.686,3.917,835.9,2.373e+10,5.064e+09,2.764e+06,1.887e+08,9.032e+07,4.319e+04,1.007e+09,5.086e+08,5.19e+08,2.624e+09,4.194e+07,8.179e+07
rf-dec,4.646,6,2205,7244,156,724.8,6.41,0.05461,0.2684,0.0008547,4.875,4.388,900.1,2.813e+10,5.77e+09,3.221e+06,1.887e+08,1.355e+08,5.032e+04,1.007e+09,5.086e+08,7.786e+08,3.025e+09,4.194e+07,8.179e+07
